sample_id	purity
CPCT02010267TII	0.605975587249041
CPCT02010359T	0.619065757695637
CPCT02010422T	0.602591303260001
CPCT02010433T	0.611524090934635
CPCT02010447T	0.608851389772942
CPCT02010468T	0.624088511888855
CPCT02010628T	0.620864827547086
CPCT02040070T	0.626149857878266
CPCT02050127T	0.636016579942676
CPCT02050299T	0.624867787466001
CPCT02080019T	0.603561834779664
CPCT02080022T	0.626609409773182
CPCT02080031T	0.605461558775115
CPCT02080070T	0.622791781612034
CPCT02080070TII	0.600880744551819
CPCT02080106T	0.616922662026734
CPCT02080112T	0.605669333986105
CPCT02080216T	0.606247551630967
CPCT02100007T	0.614289448682963
CPCT02100027T	0.649499078048519
CPCT02100035T	0.607902247464765
CPCT02100075T	0.614580131633805
CPCT02100079T	0.616903985590747
CPCT02120183T	0.606459042535072
CPCT02140044T	0.600900681960169
CPCT02160008T	0.605836104857991
CPCT02160012T	0.614541700284806
CPCT02160013T	0.600125432552349
CPCT02160018T	0.601628647065649
CPCT02180050T	0.62753737433054
CPCT02190002T	0.619876513162696
CPCT02210004T	0.605694927631155
CPCT02220029T	0.612906739862555
CPCT02230002T	0.609627549595238
CPCT02230101T	0.6109664787424
CPCT02290011T	0.624140226112969
CPCT02330042T	0.610905805016745
CPCT02340037T	0.605636091035817
CPCT02390010T	0.621899932856334
DRUP01010091T	0.628199929603491
